Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount,Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases
2701,22,Female,T-shirt,Clothing,40,Portugal,L,Olive,Winter,1.5,No,Standard,No,35,Cash,Weekly
521,51,Male,Sunglasses,Accessories,24,Netherlands,S,White,Spring,1,Yes,Free Shipping,Yes,20,Debit Card,Quarterly
3157,18,Female,Shirt,Clothing,326,Belgium,XL,Black,Winter,2,No,2-Day Shipping,No,4,Cash,Monthly
1687,22,Male,Gloves,Accessories,245,Spain,L,Red,Fall,4.2,No,Store Pickup,No,42,Cash,Annually
2929,40,Female,Jewelry,Accessories,404,Italy,M,Yellow,Spring,1.7,No,Store Pickup,No,14,Credit Card,Weekly
3583,23,Female,Shorts,Clothing,496,Spain,S,Beige,Summer,2.7,No,2-Day Shipping,No,14,PayPal,Annually
1135,62,Male,T-shirt,Clothing,426,Austria,XL,Brown,Summer,2.1,No,Express,Yes,23,Venmo,Every 3 Months
1411,61,Male,Hat,Accessories,19,Portugal,XL,Purple,Summer,2.5,No,Store Pickup,Yes,20,Debit Card,Annually
113,37,Male,Gloves,Accessories,202,Belgium,XL,Red,Spring,3.6,Yes,Free Shipping,Yes,33,PayPal,Bi-Weekly
166,42,Male,Handbag,Accessories,398,Portugal,M,Yellow,Winter,3.2,Yes,Store Pickup,Yes,19,Cash,Monthly
4568,35,Non-Binary,Shoes,Clothing,435,Switzerland,S,Blue,Autumn,2.2,No,Express,Yes,25,Credit Card,Monthly
947,46,Male,Coat,Outerwear,294,Italy,XL,Blue,Spring,1.6,Yes,Next Day Air,Yes,36,PayPal,Quarterly
4776,64,Non-Binary,Laptop,Electronics,373,Switzerland,M,Black,Spring,3.3,No,Express,No,6,Credit Card,Quarterly
3855,57,Female,T-shirt,Clothing,227,Belgium,L,Black,Spring,1.9,No,Free Shipping,No,46,Venmo,Annually
481,68,Male,Hoodie,Clothing,403,Belgium,XL,Gray,Summer,3.6,Yes,Standard,Yes,46,Debit Card,Bi-Weekly
3790,56,Female,Shirt,Clothing,351,Germany,M,Magenta,Summer,2.9,No,Express,No,22,Bank Transfer,Every 3 Months
3617,42,Female,Hoodie,Clothing,66,Italy,M,Purple,Winter,4.2,No,Store Pickup,No,10,Debit Card,Fortnightly
2659,52,Female,Handbag,Accessories,135,Spain,S,Indigo,Summer,3.7,No,Next Day Air,No,9,PayPal,Monthly
3725,30,Female,Gloves,Accessories,76,Belgium,L,Green,Winter,4.9,No,Express,No,33,Bank Transfer,Annually
